BoroName,BoroCode,CountyFIPS,NTACode,NTAName,Shape_Leng,Shape_Area
Queens,4,081,QN10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,114076.635509999992792,99449481.655399993062019
Bronx,2,005,BX75,Crotona Park East,24754.759437600001547,16316218.021900000050664
Bronx,2,005,BX09,Soundview-Castle Hill-Clason Point-Harding Park,67150.477779399996507,51958970.21679999679327
Staten Island,5,085,SI32,Rossville-Woodrow,33239.330200299998978,64959465.337499998509884
Staten Island,5,085,SI48,Arden Heights,29689.445911399998295,50407530.045400001108646
Queens,4,081,QN15,Far Rockaway-Bayswater,49211.10827650000283,54348630.010499998927116
Bronx,2,005,BX99,park-cemetery-etc-Bronx,224026.901822000014363,220896061.305999994277954
Brooklyn,3,047,BK33,Carroll Gardens-Columbia Street-Red Hook,60795.911416900002223,44600270.342299997806549
Manhattan,1,061,MN99,park-cemetery-etc-Manhattan,155018.564314999995986,91540542.153699994087219
Queens,4,081,QN05,Rosedale,63276.643516800002544,61614930.579800002276897
Queens,4,081,QN22,Flushing,38363.970006800002011,37864843.04900000244379
Queens,4,081,QN62,Queensboro Hill,30555.408574000000954,26555669.199799999594688
Manhattan,1,061,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,45454.722802099997352,37029727.287399999797344
Manhattan,1,061,MN21,Gramercy,12091.587931599999138,7531454.905109999701381
Brooklyn,3,047,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,32363.990304599999945,28462565.75620000064373
Brooklyn,3,047,BK69,Clinton Hill,23971.461410399999295,20528139.375599998980761
Brooklyn,3,047,BK72,Williamsburg,16874.433578799998941,11589988.040300000458956
Brooklyn,3,047,BK99,park-cemetery-etc-Brooklyn,394313.01341199997114,228790857.479000002145767
Manhattan,1,061,MN04,Hamilton Heights,17410.823298800001794,16093787.973200000822544
Manhattan,1,061,MN36,Washington Heights South,22096.305029399998602,23100222.750700000673532
Bronx,2,005,BX26,Highbridge,18507.423927600000752,16457230.363800000399351
Bronx,2,005,BX63,West Concourse,28550.700370099999418,19369542.22410000115633
Queens,4,081,QN17,Forest Hills,36183.607827500003623,57828447.57209999859333
Queens,4,081,QN99,park-cemetery-etc-Queens,490146.604020000027958,311684971.610000014305115
Queens,4,081,QN03,Springfield Gardens South-Brookville,45266.267875099998491,43263751.4662000015378
Queens,4,081,QN98,Airport,134833.935261000005994,227761739.733000010251999
