,OBJECTID,ID,NAME,ORDER,UNIQUEID,ROUTES,BRANCH
46,125,96,Beverly Rd,47,125,2,two_main
47,208,97,Newkirk Ave,48,208,2,two_main
48,155,98,Flatbush Ave,49,155,2,two_main
11,262,44,148th St,1,44,3,three
10,259,43,145th St,2,43,3,three
9,257,42,135th St,3,42,3,three
8,252,41,125th St,4,41,3,three
7,248,40,116th St,5,40,3,three
6,247,39,110th St,6,39,3,three
5,327,21,96th St,7,21,3,three
4,315,18,72nd St,8,18,3,three
34,481,99,Times Sq,9,99,3,three
3,295,13,34th St,10,13,3,three
2,265,9,14th St,11,9,3,three
1,344,4,Chambers St,12,4,3,three
12,364,70,Park Pl,13,70,3,three
13,354,71,Fulton St,14,71,3,three
14,374,72,Wall St,15,72,3,three
15,140,73,Clark St,16,73,3,three
16,127,74,Borough Hall,17,74,3,three
17,175,75,Hoyt St,18,75,3,three
18,203,76,Nevins St,19,76,3,three
19,104,77,Atlantic Ave,20,77,3,three
20,123,78,Bergen St,21,78,3,three
21,167,79,Grand Army Plz,22,79,3,three
22,153,80,Eastern Pky,23,80,3,three
23,161,81,Franklin Ave,24,81,3,three
24,211,82,Nostrand Ave,25,82,3,three
25,183,83,Kingston Ave,26,83,3,three
26,233,84,Utica Ave,27,84,3,three
27,230,85,Sutter Ave,28,85,3,three
28,224,86,Saratoga Ave,29,86,3,three
29,222,87,Rockaway Ave,30,87,3,three
30,179,88,Junius St,31,88,3,three
31,216,89,Pennsylvania Ave,32,89,3,three
32,236,90,Van Siclen Ave,33,90,3,three
33,205,91,New Lots Ave,34,91,3,three
4,233,84,Utica Ave,1,84,4,four
3,161,81,Franklin Ave,2,81,4,four
2,104,77,Atlantic Ave,3,77,4,four
1,203,76,Nevins St,4,76,4,four
5,126,101,Borough Hall,5,101,4,four
6,331,102,Bowling Green,6,102,4,four
7,373,103,Wall St,7,103,4,four
8,352,104,Fulton St,8,104,4,four
9,335,105,Brooklyn Bridge,9,105,4,four
10,263,110,14th St,10,110,4,four
11,355,114,Grand Central,11,114,4,four
12,306,116,59th St,12,116,4,four
13,320,119,86th St,13,119,4,four
14,253,124,125th St,14,124,4,four
15,4,125,138th St,15,125,4,four
16,5,126,149th St,16,126,4,four
17,7,127,161st St,17,127,4,four
18,9,128,167th St,18,128,4,four
19,11,129,170th St,19,129,4,four
20,61,130,Mt Eden Ave,20,130,4,four
21,14,131,176th St,21,131,4,four
22,36,132,Burnside Ave,22,132,4,four
23,16,133,183rd St,23,133,4,four
24,47,134,Fordham Rd,24,134,4,four
25,55,135,Kingsbridge Rd,25,135,4,four
26,31,136,Bedford Park Blvd,26,136,4,four
27,60,137,Mosholu Pky,27,137,4,four
28,72,138,Woodlawn,28,138,4,four
34,155,98,Flatbush Ave,1,98,5,five_main
33,208,97,Newkirk Ave,2,97,5,five_main
32,125,96,Beverly Rd,3,96,5,five_main
31,139,95,Church Ave,4,95,5,five_main
30,239,94,Winthrop St,5,94,5,five_main
29,228,93,Sterling St,6,93,5,five_main
28,217,92,President St,7,92,5,five_main
27,161,81,Franklin Ave,8,81,5,five_main
26,104,77,Atlantic Ave,9,77,5,five_main
25,203,76,Nevins St,10,76,5,five_main
35,126,101,Borough Hall,11,101,5,five_main
36,331,102,Bowling Green,12,102,5,five_main
37,373,103,Wall St,13,103,5,five_main
38,352,104,Fulton St,14,104,5,five_main
39,335,105,Brooklyn Bridge,15,105,5,five_main
40,263,110,14th St,16,110,5,five_main
41,355,114,Grand Central,17,114,5,five_main
42,306,116,59th St,18,116,5,five_main
43,320,119,86th St,19,119,5,five_main
44,253,124,125th St,20,124,5,five_main
45,4,125,138th St,21,125,5,five_main
1,6,45,149th St,22,45,5,five_main
2,27,46,3rd Ave,23,46,5,five_main
3,53,47,Jackson Ave,24,47,5,five_main
4,66,48,Prospect Ave,25,48,5,five_main
5,52,49,Intervale Ave,26,49,5,five_main
6,67,50,Simpson St,27,50,5,five_main
7,48,51,Freeman St,28,51,5,five_main
8,12,52,174th St,29,52,5,five_main
9,44,53,E Tremont Ave,30,53,5,five_main
10,43,54,E 180th St,31,54,5,five_main
10,43,54,E 180th St,31,54,5,dyre
20,58,65,Morris Park,1,65,5,dyre
21,64,66,Pelham Pky,2,66,5,dyre
22,49,67,Gun Hill Rd,3,67,5,dyre
23,29,68,Baychester Ave,4,68,5,dyre
24,39,69,Dyre Ave,5,69,5,dyre
10,43,54,E 180th St,31,54,5,white_plains
11,32,55,Bronx Park East,1,55,5,white_plains
12,65,56,Pelham Pky,2,56,5,white_plains
13,28,57,Allerton Ave,3,57,5,white_plains
14,35,58,Burke Ave,4,58,5,white_plains
15,50,59,Gun Hill Rd,5,59,5,white_plains
16,18,60,219th St,6,60,5,white_plains
17,19,61,225th St,7,61,5,white_plains
18,21,62,233rd St,8,62,5,white_plains
19,62,63,Nereid Ave,9,63,5,white_plains
1,335,105,Brooklyn Bridge,1,335,6,six
2,336,106,Canal St,2,336,6,six
3,369,107,Spring St,3,369,6,six
4,329,108,Bleecker St,4,329,6,six
5,328,109,Astor Pl,5,328,6,six
6,263,110,14th St,6,263,6,six
7,283,111,23rd St,7,283,6,six
8,288,112,28th St,8,288,6,six
9,292,113,33rd St,9,292,6,six
10,355,114,Grand Central,10,355,6,six
11,303,115,51st St,11,303,6,six
12,306,116,59th St,12,306,6,six
13,313,117,68th St,13,313,6,six
14,316,118,77th St,14,316,6,six
15,320,119,86th St,15,320,6,six
16,325,120,96th St,16,325,6,six
17,242,121,103rd St,17,242,6,six
18,245,122,110th St,18,245,6,six
19,249,123,116th St,19,249,6,six
20,253,124,125th St,20,253,6,six
21,26,139,3rd Ave,21,26,6,six
22,33,140,Brook Ave,22,33,6,six
23,38,141,Cypress Ave,23,38,6,six
24,40,142,E 143rd St,24,40,6,six
25,41,143,E 149th St,25,41,6,six
26,56,144,Longwood Ave,26,56,6,six
27,51,145,Hunts Point Ave,27,51,6,six
28,71,146,Whitlock Ave,28,71,6,six
29,45,147,Elder Ave,29,45,6,six
30,59,148,Sound View Ave,30,59,6,six
31,68,149,St Lawrence Ave,31,68,6,six
32,42,150,E 177th St,32,42,6,six
33,37,151,Castle Hill Ave,33,37,6,six
34,73,152,Zerega Ave,34,73,6,six
35,70,153,Westchester Sq,35,70,6,six
36,57,154,Middletown Rd,36,57,6,six
37,34,155,Buhre Ave,37,34,6,six
38,63,156,Pelham Bay Park,38,63,6,six
1,370,157,Times Sq,1,370,7,seven
2,311,158,5th Ave,2,311,7,seven
3,356,159,Grand Central,3,356,7,seven
4,453,160,Vernon Blvd,4,453,7,seven
5,433,161,Hunters Point Ave,5,433,7,seven
6,395,162,45th Rd,6,395,7,seven
7,443,163,Queensboro Plz,7,443,7,seven
8,390,164,33rd St,8,390,7,seven
9,394,165,40th St,9,394,7,seven
10,397,166,46th St,10,397,7,seven
11,398,167,52nd St,11,398,7,seven
12,399,168,61st St,12,399,7,seven
13,403,169,69th St,13,403,7,seven
14,405,170,74th St-Broadway,14,405,7,seven
15,409,171,82nd St,15,409,7,seven
16,412,172,90th St,16,412,7,seven
17,436,173,Junction Blvd,17,436,7,seven
18,376,174,103rd St,18,376,7,seven
19,381,175,111th St,19,381,7,seven
20,454,176,Willets Point Blvd,20,454,7,seven
21,438,177,Main St,21,438,7,seven
13,279,205,207th St,1,279,A,main_a
12,348,204,Dyckman St,2,348,A,main_a
11,276,203,190th St,3,276,A,main_a
10,273,202,181st St,4,273,A,main_a
9,272,201,175th St,5,272,A,main_a
8,270,200,168th St,6,270,A,main_a
7,260,197,145th St,7,260,A,main_a
6,254,195,125th St,8,254,A,main_a
5,243,192,103rd St,9,243,A,main_a
4,307,187,59th St,10,307,A,main_a
3,298,185,42nd St,11,298,A,main_a
2,293,184,34th St,12,293,A,main_a
43,372,293,W 4th St,13,372,A,main_a
1,337,179,Canal St,14,337,A,main_a
14,342,217,Chambers St,15,342,A,main_a
15,334,218,Broadway-Nassau St,16,334,A,main_a
16,174,219,High St,17,174,A,main_a
17,177,220,Jay St,18,177,A,main_a
18,176,221,Hoyt St,19,176,A,main_a
19,210,225,Nostrand Ave,20,210,A,main_a
20,232,227,Utica Ave,21,232,A,main_a
21,132,230,Broadway Jct,22,132,A,main_a
22,154,234,Euclid Ave,23,154,A,main_a
23,169,235,Grant Ave,24,169,A,main_a
24,408,236,80th St,25,408,A,main_a
25,411,237,88th St,26,411,A,main_a
26,444,238,Rockaway Blvd,27,444,A,main_a
26,444,238,Rockaway Blvd,1,444,A,lefferts
27,377,239,104th St,2,377,A,lefferts
28,379,240,111th St,3,379,A,lefferts
29,437,241,Lefferts Blvd,4,437,A,lefferts
26,444,238,Rockaway Blvd,1,444,A,far_rock
30,413,242,Aqueduct,2,413,A,far_rock
31,432,243,Howard Beach,3,432,A,far_rock
32,423,244,Broad Channel,4,423,A,far_rock
33,420,245,Beach 67th St,5,420,A,far_rock
34,419,246,Beach 60th St,6,419,A,far_rock
35,418,247,Beach 44th St,7,418,A,far_rock
36,417,248,Beach 36th St,8,417,A,far_rock
37,416,249,Beach 25th St,9,416,A,far_rock
38,428,250,Far Rockaway,10,428,A,far_rock
32,423,244,Broad Channel,1,423,A,rock_park
39,421,251,Beach 90th St,2,421,A,rock_park
40,422,252,Beach 98th St,3,422,A,rock_park
41,415,253,Beach 105th St,4,415,A,rock_park
42,445,254,Rockaway Park,5,445,A,rock_park
1,30,215,Bedford Park Blvd,1,30,B,main_b
2,54,214,Kingsbridge Rd,2,54,B,main_b
3,46,213,Fordham Rd,3,46,B,main_b
4,15,212,182nd St,4,15,B,main_b
5,69,211,Tremont Ave,5,69,B,main_b
6,13,210,174th St,6,13,B,main_b
7,10,209,170th St,7,10,B,main_b
8,8,208,167th St,8,8,B,main_b
9,7,127,161st St,9,7,B,main_b
10,266,206,155th St,10,266,B,main_b
11,260,197,145th St,11,260,B,main_b
12,256,196,135th St,12,256,B,main_b
13,254,195,125th St,13,254,B,main_b
14,250,194,116th St,14,250,B,main_b
15,246,193,110th St,15,246,B,main_b
16,243,192,103rd St,16,243,B,main_b
17,326,191,96th St,17,326,B,main_b
18,321,190,86th St,18,321,B,main_b
19,319,189,81st St,19,319,B,main_b
20,314,188,72nd St,20,314,B,main_b
1,307,187,59th St,21,307,B,main_b
22,318,255,7th Ave,22,318,B,main_b
27,299,298,47th-50th Sts,23,299,B,main_b
26,297,297,42nd St,24,297,B,main_b
28,294,368,34th St,25,294,B,main_b
25,25,296,W 4th St,26,25,B,main_b
24,333,292,Broadway-Lafayette St,27,333,B,main_b
23,358,291,Grand St,28,358,B,main_b
29,150,382,DeKalb Ave,29,150,B,main_b
30,102,383,Atlantic Ave,30,102,B,main_b
31,93,384,7th Ave,31,93,B,main_b
32,219,385,Prospect Park,32,219,B,main_b
33,138,387,Church Ave,33,138,B,main_b
34,207,390,Newkirk Ave,34,207,B,main_b
35,180,394,Kings Hwy,35,180,B,main_b
36,225,397,Sheepshead Bay,36,225,B,main_b
37,129,398,Brighton Beach,37,129,B,main_b
20,270,200,168th St,1,270,C,main_c
19,269,199,163rd St,2,269,C,main_c
18,267,198,155th St,3,267,C,main_c
17,260,197,145th St,4,260,C,main_c
16,256,196,135th St,5,256,C,main_c
15,254,195,125th St,6,254,C,main_c
14,250,194,116th St,7,250,C,main_c
13,246,193,110th St,8,246,C,main_c
12,243,192,103rd St,9,243,C,main_c
11,326,191,96th St,10,326,C,main_c
10,321,190,86th St,11,321,C,main_c
9,319,189,81st St,12,319,C,main_c
8,314,188,72nd St,13,314,C,main_c
7,307,187,59th St,14,307,C,main_c
6,301,186,50th St,15,301,C,main_c
5,298,185,42nd St,16,298,C,main_c
4,293,184,34th St,17,293,C,main_c
3,284,183,23rd St,18,284,C,main_c
40,323,439,8th Ave,19,323,C,main_c
39,372,293,W 4th St,20,372,C,main_c
2,368,180,Spring St,21,368,C,main_c
1,337,179,Canal St,22,337,C,main_c
21,342,217,Chambers St,23,342,C,main_c
22,334,218,Broadway-Nassau St,24,334,C,main_c
23,174,219,High St,25,174,C,main_c
24,177,220,Jay St,26,177,C,main_c
25,176,221,Hoyt St,27,176,C,main_c
26,187,222,Lafayette Ave,28,187,C,main_c
27,144,223,Clinton Ave,29,144,C,main_c
28,159,224,Franklin Ave,30,159,C,main_c
29,210,225,Nostrand Ave,31,210,C,main_c
30,184,226,Kingston-Throop Aves,32,184,C,main_c
31,232,227,Utica Ave,33,232,C,main_c
32,220,228,Ralph Ave,34,220,C,main_c
33,221,229,Rockaway Ave,35,221,C,main_c
34,132,230,Broadway Jct,36,132,C,main_c
35,189,231,Liberty Ave,37,189,C,main_c
36,234,232,Van Siclen Ave,38,234,C,main_c
37,226,233,Shepherd Ave,39,226,C,main_c
38,154,234,Euclid Ave,40,154,C,main_c
